"Canal15";"Canal14";"Canal2";"Canal1"
"un15";"un14";"uni2";"uni1"
"-0,293";"0,098";"33,219";"32,731"
"0,000";"0,195";"33,219";"32,242"
"-0,293";"0,098";"33,219";"32,242"
"0,000";"0,098";"32,731";"32,242"
"-0,147";"0,195";"33,219";"32,731"
"-0,147";"0,098";"32,731";"35,173"
"-0,147";"0,195";"33,219";"32,242"
"-0,147";"0,098";"32,242";"32,731"
"0,000";"0,195";"33,708";"32,242"
"-0,147";"0,195";"32,731";"32,731"
"0,000";"0,195";"31,754";"32,242"
"0,000";"0,098";"32,731";"32,242"
"0,000";"0,195";"32,731";"32,242"
"-0,147";"0,195";"32,731";"32,242"
"-0,147";"0,195";"32,731";"31,754"
"-0,147";"0,098";"32,731";"32,731"
"0,000";"0,195";"32,731";"32,242"
"0,000";"0,195";"33,219";"32,731"
"-0,147";"0,098";"32,731";"32,242"
"-0,293";"0,195";"33,219";"32,731"
"-0,147";"0,195";"32,731";"32,242"
"-0,147";"0,098";"33,219";"32,242"
"-0,293";"0,195";"32,731";"31,754"
"-0,147";"0,098";"33,219";"32,731"
"-0,147";"0,098";"32,731";"31,754"
"-0,293";"0,195";"33,219";"32,242"
"0,000";"0,000";"32,731";"33,219"
"-0,147";"0,293";"33,219";"31,265"
"-0,147";"0,195";"32,731";"32,731"
"-0,147";"0,000";"33,219";"32,242"
"0,000";"0,195";"32,731";"32,731"
"0,000";"0,195";"31,265";"32,242"
"0,000";"0,098";"32,731";"32,731"
"-0,147";"0,195";"32,731";"32,242"
"0,000";"0,195";"33,219";"32,242"
"0,000";"0,098";"32,731";"32,242"
"-0,293";"0,195";"33,219";"32,731"
"0,000";"0,098";"32,731";"32,242"
"0,000";"0,098";"33,219";"32,242"
"-0,147";"0,098";"32,731";"32,731"
"-0,147";"0,098";"33,219";"32,731"
"-0,147";"0,098";"32,731";"31,754"
"0,000";"0,195";"33,219";"32,731"
"0,000";"0,098";"32,731";"31,754"
"-0,293";"0,195";"32,731";"32,731"
"-0,147";"0,195";"32,731";"32,731"
"-0,147";"0,098";"33,219";"31,265"
"-0,147";"0,195";"32,242";"32,242"
"0,000";"0,098";"33,708";"32,242"
"-0,293";"0,195";"34,685";"32,242"
"0,000";"0,098";"32,242";"32,242"
"0,000";"0,098";"33,219";"32,731"
"-0,147";"0,098";"32,731";"32,242"
"-0,147";"0,195";"33,219";"32,242"
"-0,147";"0,195";"32,731";"32,242"
"-0,147";"0,098";"33,219";"32,731"
"-0,147";"0,098";"32,731";"32,731"
"-0,147";"0,098";"33,219";"32,731"
"0,000";"0,098";"32,731";"32,242"
"-0,293";"0,098";"32,731";"32,731"
"-0,293";"0,195";"32,731";"31,754"
"-0,293";"0,098";"33,219";"32,731"
"0,000";"0,000";"32,731";"31,754"
"0,000";"0,195";"33,219";"32,242"
"-0,147";"0,195";"32,731";"31,754"
"0,000";"0,195";"33,708";"31,265"
"0,000";"0,098";"32,731";"32,242"
"-0,147";"0,098";"33,219";"31,754"
"-0,147";"0,098";"32,731";"32,242"
"0,000";"0,195";"32,731";"32,242"
"-0,147";"0,195";"33,219";"32,242"
"-0,293";"0,098";"33,219";"32,242"
"-0,147";"0,195";"32,731";"32,242"
"-0,147";"0,293";"32,731";"31,754"
"-0,440";"0,000";"33,219";"32,242"
"-0,147";"0,293";"32,731";"32,242"
"-0,147";"0,098";"32,731";"32,242"
"-0,147";"0,098";"32,731";"32,731"
"-0,147";"0,195";"32,731";"32,731"
"-0,147";"0,000";"32,731";"32,242"
"-0,147";"0,098";"32,731";"32,242"
"0,000";"0,195";"32,731";"31,754"
"-0,147";"0,000";"32,731";"32,242"
"-0,147";"0,000";"32,731";"31,754"
"-0,293";"0,195";"33,219";"32,731"
"-0,147";"0,000";"32,242";"35,173"
"-0,147";"0,098";"33,219";"32,731"
"0,147";"0,195";"32,242";"32,731"
"0,000";"0,000";"32,731";"31,754"
"0,000";"0,195";"35,662";"32,242"
"0,000";"0,098";"32,731";"32,242"
"0,000";"0,000";"32,731";"32,731"
"-0,147";"0,195";"32,731";"32,242"
"-0,147";"0,098";"32,731";"32,242"
"-0,147";"0,098";"32,731";"32,242"
"-0,147";"0,098";"32,731";"32,731"
"-0,147";"0,098";"32,731";"32,242"
"0,000";"0,098";"32,731";"32,242"
"-0,147";"0,098";"32,731";"32,242"
"0,000";"0,098";"33,219";"32,242"
"0,000";"0,098";"32,731";"31,754"
"-0,147";"0,098";"33,219";"32,242"
"0,000";"0,195";"32,731";"32,242"
"-0,147";"0,098";"32,731";"31,265"
"-0,147";"0,000";"32,731";"32,731"
"0,000";"0,195";"33,219";"31,754"
"-0,147";"0,000";"35,662";"32,242"
"0,000";"0,098";"32,731";"32,242"
"-0,147";"0,000";"32,731";"32,242"
"-0,147";"0,098";"32,731";"32,242"
"-0,147";"0,098";"33,219";"32,731"
"-0,147";"0,000";"32,731";"32,242"
"-0,147";"0,293";"32,731";"32,242"
"-0,147";"0,098";"32,731";"32,242"
"-0,147";"0,000";"33,219";"32,731"
"-0,147";"0,098";"32,731";"32,242"
"-0,147";"0,098";"32,731";"32,242"
"0,000";"0,098";"32,731";"32,242"
"-0,293";"0,098";"33,219";"32,242"
"-0,147";"0,098";"32,731";"31,754"
"0,000";"0,098";"33,219";"31,265"
"-0,293";"0,098";"32,731";"32,242"
"-0,147";"0,000";"33,219";"32,242"
"0,000";"0,098";"32,242";"32,242"
"-0,147";"0,098";"31,265";"32,242"
"-0,147";"0,000";"32,731";"32,242"
"-0,147";"0,098";"32,731";"32,242"
"-0,293";"0,293";"33,219";"32,731"
"-0,293";"-0,098";"32,731";"32,242"
"-0,147";"0,195";"32,731";"32,242"
"0,000";"0,098";"32,731";"32,242"
"-0,147";"0,000";"33,219";"32,731"
"-0,147";"0,098";"32,731";"31,754"
"0,000";"0,098";"32,731";"32,242"
"-0,147";"0,000";"32,731";"31,754"
"-0,147";"0,195";"32,731";"31,754"
"0,000";"0,000";"32,731";"32,242"
"0,000";"0,098";"32,731";"32,242"
"0,000";"0,293";"32,731";"32,731"
"0,000";"0,195";"32,731";"32,242"
"-0,147";"0,098";"33,219";"32,731"
"0,000";"0,195";"32,731";"31,754"
"0,000";"0,098";"33,219";"32,242"
"0,000";"0,098";"32,731";"32,242"
"-0,293";"0,195";"32,731";"32,242"
"-0,147";"0,098";"32,731";"32,242"
"-0,147";"0,098";"33,219";"32,731"
"-0,147";"0,000";"32,731";"31,754"
"-0,293";"0,098";"33,219";"32,731"
"0,000";"0,098";"32,731";"31,265"
"0,000";"0,098";"32,731";"32,242"
"-0,147";"0,000";"32,242";"32,242"
"0,000";"0,098";"33,219";"32,242"
"-0,147";"0,098";"33,219";"32,731"
"0,000";"0,098";"32,731";"32,731"
"-0,147";"0,098";"33,219";"32,242"
"0,000";"0,098";"32,731";"32,242"
"-0,147";"0,000";"32,731";"32,242"
"-0,147";"0,098";"32,731";"32,242"
"-0,147";"0,000";"32,731";"32,242"
"-0,147";"0,098";"32,731";"32,242"
"-0,147";"0,098";"32,731";"32,731"
"-0,147";"0,098";"32,731";"31,754"
"-0,147";"0,098";"33,219";"31,265"
"-0,293";"0,098";"32,731";"32,242"
"-0,147";"0,098";"32,731";"32,242"
"0,000";"0,098";"35,662";"32,242"
"-0,147";"0,000";"32,731";"32,242"
"-0,147";"0,098";"33,219";"32,242"
"-0,293";"0,098";"32,731";"31,754"
"-0,147";"0,098";"33,219";"32,242"
"0,000";"0,000";"32,731";"32,242"
"-0,147";"0,098";"32,731";"32,731"
"-0,147";"0,000";"33,219";"32,242"
"-0,293";"0,098";"33,219";"32,731"
"0,000";"0,098";"32,731";"31,754"
"0,000";"0,000";"32,731";"32,731"
"-0,147";"0,098";"32,731";"32,242"
"-0,147";"0,000";"32,731";"32,242"
"0,000";"0,098";"33,219";"32,242"
"0,000";"0,098";"32,731";"32,242"
"0,000";"0,098";"32,731";"32,242"
"-0,147";"0,098";"32,731";"31,754"
"-0,147";"0,098";"32,731";"32,242"
